"CUSTOMER_CODE","FIRSTNAME","LASTNAME"
"CUST0000000001","Ana","Fox"
"CUST0000000002","Robert","Valenzuela"
"CUST0000000003","Katherine","Smith"
"CUST0000000004","Mana","Avila"
"CUST0000000005","Robin","Seutter"
"CUST0000000006","Jessica","Bowman"
"CUST0000000007","Jody","Little"
"CUST0000000008","Rhonda","Stroud"
"CUST0000000009","Mary","Roussel"
"CUST0000000010","Jose","Wagner"
"CUST0000000011","Amy","Brown"
"CUST0000000012","Edwin","Vinson"
"CUST0000000013","Elmer","Williams"
"CUST0000000014","Otis","Mills"
"CUST0000000015","Howard","Norrod"
"CUST0000000016","Jose","Jackson"
"CUST0000000017","Robert","Blanchette"
"CUST0000000018","Lee","Jimenez"
"CUST0000000019","Paul","Gaston"
"CUST0000000020","Viviana","Quinter"
"CUST0000000021","Vincent","Tenorio"
"CUST0000000022","Monica","Charley"
"CUST0000000023","David","Hicks"
"CUST0000000024","Wendell","Wass"
"CUST0000000025","Jose","Beckman"
"CUST0000000026","John","Roy"
"CUST0000000027","Vinnie","Boyd"
"CUST0000000028","Tammy","Johnson"
"CUST0000000029","Emily","Morrow"
"CUST0000000030","Christopher","Aleman"
"CUST0000000031","Ginger","Buchmeier"
"CUST0000000032","Erica","Lashley"
"CUST0000000033","Ricky","Howard"
"CUST0000000034","Margaret","George"
"CUST0000000035","Joseph","Novoa"
"CUST0000000036","Elizabeth","Higgins"
"CUST0000000037","Gladys","Lawson"
"CUST0000000038","Josephine","Sandoval"
"CUST0000000039","Sally","Camilo"
"CUST0000000040","George","Oquinn"
"CUST0000000041","Stephanie","Coverdale"
"CUST0000000042","Shannon","Cronin"
"CUST0000000043","Christine","Silverstein"
"CUST0000000044","Olive","Sitar"
"CUST0000000045","Margaret","Frank"
"CUST0000000046","Kayla","Fatula"
"CUST0000000047","Elizabeth","Chevez"
"CUST0000000048","Don","Swallow"
"CUST0000000049","Dorothy","Babb"
"CUST0000000050","Alan","Nelson"
"CUST0000000051","Joy","Brown"
"CUST0000000052","Mark","Hebb"
"CUST0000000053","Adam","Walter"
"CUST0000000054","Joanne","Field"
"CUST0000000055","Janine","Villani"
"CUST0000000056","Carol","Baldwin"
"CUST0000000057","Timothy","Ruiz"
"CUST0000000058","Sherri","Melvin"
"CUST0000000059","James","Burkholder"
"CUST0000000060","Willie","Pickett"
"CUST0000000061","Jonathan","Price"
"CUST0000000062","Calvin","Deschaine"
"CUST0000000063","Wallace","Bullock"
"CUST0000000064","Frank","Hill"
"CUST0000000065","Michael","Brown"
"CUST0000000066","Robert","Panning"
"CUST0000000067","Ashley","Briggs"
"CUST0000000068","Helen","Wiley"
"CUST0000000069","Miriam","Hull"
"CUST0000000070","John","Haile"
"CUST0000000071","Clarence","Hughes"
"CUST0000000072","Jodie","Nobles"
"CUST0000000073","Roger","Brown"
"CUST0000000074","Verna","Redman"
"CUST0000000075","Leonard","Webster"
"CUST0000000076","Phylis","Douglas"
"CUST0000000077","William","Johnson"
"CUST0000000078","Jonathan","Wheeler"
"CUST0000000079","Joshua","Heyd"
"CUST0000000080","Audrey","Olivera"
"CUST0000000081","Joan","Chase"
"CUST0000000082","Ruth","Sieck"
"CUST0000000083","Madelyn","Harris"
"CUST0000000084","Andrea","Salazar"
"CUST0000000085","Beatrice","Schermerhorn"
"CUST0000000086","Tiffany","Chaparro"
"CUST0000000087","Ricardo","Putnam"
"CUST0000000088","Larry","Eckstein"
"CUST0000000089","Edward","Lee"
"CUST0000000090","Charles","Young"
"CUST0000000091","Jane","Hanks"
"CUST0000000092","Shannon","Anderson"
"CUST0000000093","Laurie","Burnside"
"CUST0000000094","Rebecca","White"
"CUST0000000095","Randall","Mcintyre"
"CUST0000000096","Margaret","Dalbec"
"CUST0000000097","Benjamin","Williams"
"CUST0000000098","Lisa","Wilson"
"CUST0000000099","Clyde","Winchester"
"CUST0000000100","Timothy","Carey"
"CUST0000000101","Edwin","Dabney"
"CUST0000000102","Lilly","Atkins"
"CUST0000000103","Rafael","Jones"
"CUST0000000104","Jennifer","Taylor"
"CUST0000000105","Terry","Thrift"
"CUST0000000106","Hillary","Edwards"
"CUST0000000107","Travis","Fleming"
"CUST0000000108","Ruth","Ballard"
"CUST0000000109","Bonita","Meeker"
"CUST0000000110","Kevin","Arfman"
